id,HK1,HK10,HK11,HK12,HK13,HK14,HK15,HK16,HK17,HK18,HK19,HK2,HK20,HK21,HK22,HK23,HK24,HK25,HK27,HK28,HK29,HK3,HK30,HK31,HK32,HK33,HK34,HK35,HK36,HK37,HK38,HK39,HK4,HK40,HK41,HK42,HK43,HK44,HK45,HK46,HK47,HK48,HK49,HK5,HK50,HK51,HK52,HK53,HK54,HK55,HK56,HK57,HK58,HK59,HK6,HK61,HK62,HK63,HK64,HK65,HK66,HK67,HK68,HK69,HK7,HK70,HK71,HK72,HK73,HK74,HK75,HK76,HK77,HK78,HK79,HK8,HK80,HK81,HK82,HK83,HK84,HK85,HK86,HK87,HK88,HK89,HK9,HK90
a3809038bdd3737d48b6e54e2529dafa,0,10,0,0,0,0,0,0,0,93,6,0,0,0,38,164,0,0,24,0,0,0,0,0,19,2,0,5,95,84,0,0,0,0,7,5,23,0,466,40,531,73,0,0,0,0,0,0,0,0,0,0,0,17,0,75,22,330,68,0,0,0,0,0,0,127,0,3,13,191,0,317,0,0,1146,0,0,505,265,0,101,0,9,134,0,49,0,211
b02d5c5212e6859e8bb97dfe3a394ab5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133e0e6d4ad9b8f1c4d6993d30141439,0,0,0,0,0,4,0,0,0,0,0,7,0,0,310,0,0,4167,4625,175,271,0,510,11943,16078,16224,26,6,0,0,5,0,0,26,4,0,58,0,0,15342,207,1595,35876,0,2345,22341,0,5,7577,134,1522,13311,3085,1001,0,5524,227,127,112,858,232,2095,424,1336,3,1192,0,90,826,4397,0,11882,875,3081,2473,0,68419,614,20591,13948,11615,21217,3363,2943,110700,28,0,0
3fce100e0bf00a0829bf5f3ac5910d46,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,546,0,0,0,0,0,0,0,0,198,1082,16,3286,82,8,7,538,32,31,68,234,0,131,138,0,90,707,112,590,46,0,516,0,92,13,0,284,10,76,41,61,12,1176,61,45,47,0,469
3e576049b8306a2e5296040bece07a53,0,0,0,0,0,0,0,0,34,184,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,261,0,0,0,1796,301,0,0,261,0,808,644,0,0,258,6,3732,0,0,0,0,0,0,0,0,0,0,0,0,589
821ed1e3f2d1e265ee804c9d510afcfe,0,0,0,0,6,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,0,0,0,15,0,0,0,0,0,0,0,0,14,0,14,0,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,5,0
bfc8e4f26f4dd3c2e174c54d126620be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
66a3d785b5a9ba66fd360334a4c65876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,67,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
073aff25fe918a6d4aeb990a9a7821d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,122,2,1108,668,504,1489,0,0,3,5,0,0,0,4,9,27,13,46,42,3,5,17,100,0,121,139,3814,5119,3199,0,0,0,0,19,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,265,0,4,0
42a4f47320d203c35de4048ea5b86d45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,126,4,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,10,0,0,0,0,16,0,0,0,14,0,22,0,0,14
cda2cd30cb0473ffaf4b80190a1649d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,494,0,51,0,0,0,0,0,20,0,78
016f62eec5c75b87dd67aff8f171623f,0,0,0,3,0,0,0,0,3,0,0,10,0,26,43,0,0,10,12,0,0,0,0,31,285,38,12,0,0,12,0,2,0,0,0,4,148,51,618,6,15,2,48,5,0,13,0,0,0,0,0,121,0,15,0,278,0,15,0,0,60,0,0,0,0,0,29,0,0,199,21,0,0,0,128,0,0,75,0,65,0,20,19,428,87,0,7,110
bf0777d0b1a66d15dd48d8aafd744bfa,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,46,0,136,1229,419,110,0,130,0,0,0,0,0,0,0,0,0,0,65,0,0,0,14,0,77,43,346,0,0,0,112,605,310,564,16237,4489,7147,1088,52113,0,3159,24,0,321,57,20,0,0,583,0,1510,0,0,1632,1175,8,4,229,352,16715,0,7,552,275,13736,2416,138812,17650,24635,5466,0,0,4663
ffd0e6fa67becb608252be327a226828,0,0,0,0,0,476,131,0,0,0,0,0,0,0,0,0,0,0,0,20,125,0,81,246,22,8,23,387,5,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,166,9,485,19,376,0,0,0,32,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,152,0,2775,0,0,101,0,0,1107
05bfd67f275fcb94ad5feb1616678699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,2,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3013392febaa6353d185eb45b05cf34a,0,0,11,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,5,11,2,14,6,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,10,0,0,0,0,2,6,0,0,0,0,4,3,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
9c3e9050340b6005612e3f16616e1ef4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,129,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967b398ee96bd74513880b70c3b69ab3,76,4,21,18,101,60,378,0,228,51,730,89,2722,3512,461,890,974,1345,464,661,20,66,69,0,169,517,27,17,96,220,124,491,9,2226,2438,2572,266,128,419,319,145,284,35,27,74,34,0,0,0,282,319,15,600,46,257,33,62,233,74,0,66,0,27,45,23,133,22,41,31,32,0,664,391,112,35,0,6,229,312,77,470,280,116,861,4,1366,0,455
3e2f8ae6b48422b734ec4036a1691391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,804,0,0,0,0,0
